,actor,name
0,/name/nm0000291/,Angela Bassett
0,/name/nm0000296/,Robert Beltran
0,/name/nm0000297/,Tom Berenger
0,/name/nm0000298/,Candice Bergen
0,/name/nm0000299/,Michael Biehn
0,/name/nm0000300/,Juliette Binoche
0,/name/nm0000301/,Thora Birch
0,/name/nm0000307/,Helena Bonham Carter
0,/name/nm0000312/,Amy Brenneman
0,/name/nm0000313/,Jeff Bridges
0,/name/nm0000317/,Clancy Brown
0,/name/nm0000319/,Yancy Butler
0,/name/nm0000328/,Richard Chamberlain
0,/name/nm0000329/,Jackie Chan
0,/name/nm0000331/,Chevy Chase
0,/name/nm0000332/,Don Cheadle
0,/name/nm0000338/,Francis Ford Coppola
0,/name/nm0000339/,Roger Corman
0,/name/nm0000342/,James Cromwell
0,/name/nm0000343/,David Cronenberg
0,/name/nm0000344/,Denise Crosby
0,/name/nm0000345/,Billy Crystal
0,/name/nm0000346/,Macaulay Culkin
0,/name/nm0000349/,Joan Cusack
0,/name/nm0000353/,Willem Dafoe
0,/name/nm0000354/,Matt Damon
0,/name/nm0000355/,Anthony Daniels
0,/name/nm0000362/,Danny DeVito
0,/name/nm0000363/,Loren Dean
0,/name/nm0000366/,Catherine Deneuve
0,/name/nm0000368/,Laura Dern
0,/name/nm0000369/,Matt Dillon
0,/name/nm0000373/,Michael Dorn
0,/name/nm0000374/,Brad Dourif
0,/name/nm0000375/,Robert Downey Jr.
0,/name/nm0000376/,Fran Drescher
0,/name/nm0000377/,Richard Dreyfuss
0,/name/nm0000380/,Robert Duvall
0,/name/nm0000383/,Jennifer Ehle
0,/name/nm0000385/,Sam Elliott
0,/name/nm0000387/,Robert Englund
0,/name/nm0000391/,Rupert Everett
0,/name/nm0000392/,Morgan Fairchild
0,/name/nm0000395/,Terry Farrell
0,/name/nm0000397/,Corey Feldman
0,/name/nm0000398/,Sally Field
0,/name/nm0000401/,Laurence Fishburne
0,/name/nm0000402/,Carrie Fisher
0,/name/nm0000404/,Jane Fonda
0,/name/nm0000407/,Vivica A. Fox
0,/name/nm0000409/,Brendan Fraser
0,/name/nm0000410/,Stephen Fry
0,/name/nm0000412/,Andy Garcia
0,/name/nm0000413/,Janeane Garofalo
0,/name/nm0000416/,Terry Gilliam
0,/name/nm0000417/,Crispin Glover
0,/name/nm0000418/,Danny Glover
0,/name/nm0000420/,Valeria Golino
0,/name/nm0000421/,Cuba Gooding Jr.
0,/name/nm0000422/,John Goodman
0,/name/nm0000424/,Hugh Grant
0,/name/nm0000425/,Peter Greenaway
0,/name/nm0000427/,Pam Grier
0,/name/nm0000430/,Steve Guttenberg
0,/name/nm0000434/,Mark Hamill
0,/name/nm0000435/,Daryl Hannah
0,/name/nm0000437/,Woody Harrelson
0,/name/nm0000439/,Neil Patrick Harris
0,/name/nm0000442/,Rutger Hauer
0,/name/nm0000446/,Mariel Hemingway
0,/name/nm0000448/,Lance Henriksen
0,/name/nm0000449/,Natasha Henstridge
0,/name/nm0000459/,Timothy Hutton
0,/name/nm0000463/,Famke Janssen
0,/name/nm0000465/,Ron Jeremy
0,/name/nm0000467/,Don Johnson
0,/name/nm0000469/,James Earl Jones
0,/name/nm0000473/,Diane Keaton
0,/name/nm0000474/,Michael Keaton
0,/name/nm0000476/,Sally Kirkland
0,/name/nm0000479/,Walter Koenig
0,/name/nm0000481/,Alice Krige
0,/name/nm0000486/,Heather Langenkamp
0,/name/nm0000491/,John Leguizamo
0,/name/nm0000492/,Jennifer Jason Leigh
0,/name/nm0000496/,Juliette Lewis
0,/name/nm0000499/,Bai Ling
0,/name/nm0000500/,Richard Linklater
0,/name/nm0000501/,Ray Liotta
0,/name/nm0000505/,Nia Long
0,/name/nm0000507/,Rob Lowe
0,/name/nm0000510/,Andie MacDowell
0,/name/nm0000511/,Shirley MacLaine
0,/name/nm0000514/,Michael Madsen
0,/name/nm0000518/,John Malkovich
0,/name/nm0000522/,Vanessa Marcil
0,/name/nm0000525/,Heather Matarazzo
0,/name/nm0000530/,Andrew McCarthy
0,/name/nm0000532/,Malcolm McDowell
0,/name/nm0000535/,Rose McGowan
0,/name/nm0000538/,Colm Meaney
0,/name/nm0000539/,Dina Meyer
