,title_code,title,runtime,release_date,rating,prod_co,metaScore,metaUserScore,imdb_rating,genre,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,directors,writers,budget,opening_wknd,gross_dom,gross_int
0,tt9119272,RUTH - Justice Ginsburg in her own Words,0,2021,,['American Film Foundation'],0,0,0,[],/name/nm5837459/,/name/nm1384416/,/name/nm10629676/,/name/nm10629675/,/name/nm0046029/,/name/nm10617769/,/name/nm5254396/,/name/nm10629674/,/name/nm10617767/,,['Freida Lee Mock'],"['Mike Aguilar', 'Freida Lee Mock']",,,,
0,tt9120048,Barbie's Kenny,0,2019-03-23,,['Kiss the Earth Films'],0,0,0,[],/name/nm0412399/,/name/nm6631655/,/name/nm3584900/,/name/nm4767517/,/name/nm1854783/,/name/nm4012135/,/name/nm2012088/,/name/nm3058724/,/name/nm4704551/,/name/nm4793695/,['Zachary Ray Sherman'],['Zachary Ray Sherman'],,,,
0,tt9120712,Hyper Dark,0,2019-05,,[],0,0,0,[],/name/nm7566491/,/name/nm2276305/,/name/nm3778064/,/name/nm9285488/,/name/nm8133932/,/name/nm10206647/,/name/nm9380260/,/name/nm8036479/,,,['Lance T. Karasti'],['Lance T. Karasti'],,,,
0,tt9120920,Baxley,0,2019-11-15,,['Maverick Media'],0,0,0,[],/name/nm4386625/,/name/nm10187062/,/name/nm5155380/,/name/nm5155344/,/name/nm5078754/,,,,,,['Donovan McDaniel'],['Donovan McDaniel'],50000.0,,,
0,tt9120944,Act Like You Love Yourself,0,2019-01-01,,[],0,0,0,[],/name/nm4098919/,,,,,,,,,,[],[],10000.0,,,
0,tt9125380,A Promise To Astrid,0,2019-05-09,TV-PG,['JC Films'],0,0,0,[],/name/nm0001002/,/name/nm8854819/,/name/nm2785996/,/name/nm5082358/,/name/nm6636880/,/name/nm10188970/,/name/nm10188976/,/name/nm10188975/,/name/nm8825502/,/name/nm10188973/,"['Jason Campbell', 'Gary Lee Vincent']","['Jason Campbell', 'Mike Tourville']",,,,
0,tt9125466,Dakota,0,2019-11-13,,[],0,0,0,[],/name/nm2845468/,/name/nm9423996/,/name/nm3288888/,/name/nm6518022/,/name/nm10646672/,/name/nm9131092/,/name/nm2696695/,/name/nm1986591/,/name/nm5002947/,/name/nm10374058/,['Roberto Carmona'],['Roberto Carmona'],,,,
0,tt9125542,Koshien: Japan's Field of Dreams,0,2019-11-01,,"['Cineric Creative', 'NHK']",0,0,0,[],,,,,,,,,,,['Ema Ryan Yamazaki'],[],,,,
0,tt9127488,Postal,0,2019-04-13,,"['Catador Film Co', 'APL Film']",0,0,0,[],/name/nm6464266/,/name/nm10211702/,/name/nm4613008/,/name/nm10211705/,/name/nm10286826/,/name/nm4458414/,/name/nm0183548/,/name/nm2551500/,/name/nm10286823/,/name/nm5320953/,['Tyler Falbo'],['Tyler Falbo'],,,,
0,tt9128410,Isaac Pope: The Spirit of an American Century,0,2019,,['Paula J Caplan'],0,0,0,[],/name/nm10189986/,/name/nm10189979/,/name/nm10189985/,/name/nm10189982/,/name/nm10189987/,/name/nm10189983/,/name/nm8084355/,/name/nm10189981/,/name/nm10189988/,/name/nm10189980/,['Rock Grant'],"['Paula Caplan', 'Paula Caplan', 'Paula J. Caplan', 'Rock Grant', 'Jay Luster']",20000.0,,,
0,tt9128824,Yamamoto: Life and Death,0,2019-09-09,,"['Tim Gray Media', 'American Public Television']",0,0,0,[],,,,,,,,,,,['Tim Gray'],['Tim Gray'],100000.0,,,
0,tt9129166,Sher Dil,0,2019-04-12,,['NK Pictures'],0,0,0,[],/name/nm2671989/,/name/nm4908063/,/name/nm3356469/,/name/nm3856915/,/name/nm10424686/,/name/nm10424687/,/name/nm8808560/,/name/nm7613836/,/name/nm10424688/,/name/nm2563901/,['Azfar Jafri'],['Nomaan Khan'],29961.0,,,
